,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property,country_txt,region_txt
0,Animal Liberation Front (ALF),5.0,upper hutt,Western Europe,United Kingdom,"Assailants set fire to a Kentucky Fried Chicken (KFC) restaurant in Upper Hutt city, Wellington region, New Zealand. There were no injuries in the attack; however, the building was badly damaged by the fire. The Animal Liberation Front (ALF) claimed responsibility for the incident in a post online.",2014/2/7,0.0,0.0,1,New Zealand,Australasia & Oceania
1,Informal Anarchist Federation,5.0,informal anarchist,Western Europe,Italy,"Assailants set fire to two vehicles on Queen street in Woollahra neighborhood, Sydney city, New South Wales state, Australia. There were no reported casualties in the attack. This was one of two coordinated attacks carried out by the Informal Anarchist Federation in Woollahra neighborhood on May 18, 2014. The Informal Anarchist Federation claimed responsibility for the incident, stating that the attack was carried out in retaliation to injustice.",2014/5/18,0.0,0.0,1,Australia,Australasia & Oceania
2,Informal Anarchist Federation,5.0,assailants set,Western Europe,Italy,"Assailants set fire to a luxury vehicle on Moncur street in Woolahra neighborhood, Sydney city, New South Wales state, Australia. There were no reported casualties in the attack. This was one of two coordinated attacks carried out by the same group in Woolahra neighborhood on May 18, 2014. The Informal Anarchist Federation claimed responsibility for the incident.",2014/5/18,0.0,0.0,1,Australia,Australasia & Oceania
3,Animal Liberation Front (ALF),5.0,assailants set,Western Europe,United Kingdom,"Assailants set fire to the Oberon NSW Slaughterhouse in Oberon town, New South Wales state, Australia. There were no reported casualties in the attack; however, the building was damaged in the attack. The Animal Liberation Front (ALF) claimed responsibility for the incident and stated that the attack was carried out in retaliation for profiting from animal abuse.",2014/12/2,0.0,0.0,1,Australia,Australasia & Oceania
