word,count
"China","37"
"motive","22"
"specific","20"
"responsibility","17"
"police","17"
"Police","16"
"Beijing","14"
"Shanghai","14"
"News","14"
"Kunming","12"
"killed","12"
"Nexis","12"
"Lexis","12"
"time","11"
"Monitoring","11"
"BBC","11"
"bus","10"
"bomb","10"
"Monday","10"
"injured","9"
