word,count
"News","2"
"Day","2"
"specific","1"
"responsibility","1"
"Firebombed","1"
"police","1"
"Cop","1"
"motive","1"
"night","1"
"firebombed","1"
"Cocktail","1"
"Trinidad","1"
"claimed","1"
"Regional","1"
"Molotov","1"
"residence","1"
"Corporation","1"
"officer","1"
"Saturday","1"
"Sangre","1"
