word,count
"Kazakhstan","16"
"responsibility","11"
"claimed","11"
"group","11"
"Tajikistan","10"
"police","10"
"incident","9"
"fire","9"
"injured","8"
"Assailants","8"
"city","8"
"Georgia","8"
"Newswire","7"
"targeted","6"
"killed","6"
"Tajik","6"
"Presse","6"
"province","6"
"France","6"
"Agence","6"
