word,count
"Colombia","902"
"FARC","359"
"claimed","292"
"group","259"
"department","247"
"responsibility","219"
"attributed","213"
"sources","210"
"Armed","180"
"Army","177"
"Forces","176"
"Revolutionary","173"
"Assailants","162"
"OSC","156"
"Summary","156"
"Guerrilla","152"
