word,count
"Terror","12"
"Israel","8"
"Syria","7"
"Gaza","6"
"U.S.","6"
"Police","5"
"War","5"
"Arrest","5"
"Israeli","4"
"Iraq","4"
"Sinai","4"
"Wild","4"
"Syrian","4"
"Iran","3"
"History","3"
"Plot","3"
"Social","3"
"Killed","3"
"Media","3"
"Transition","3"
