word,count
"Russia","304"
"Dagestan","228"
"responsibility","171"
"claimed","169"
"group","167"
"incident","159"
"police","144"
"killed","120"
"injured","91"
"city","89"
"BBC","88"
"Monitoring","85"
"device","83"
"republic","83"
"explosive","77"
"fire","70"
