word,count
"Thailand","361"
"group","348"
"motive","346"
"responsibility","330"
"claimed","319"
"specific","297"
"News","287"
"Philippines","284"
"Post","274"
"Bangkok","260"
"militants","256"
"killed","184"
"Daily","182"
"attacks","181"
"LexisNexis","176"
