word,count
"killed","2078"
"claimed","1991"
"sources","1817"
"group","1730"
"responsibility","1668"
"Nigeria","1543"
"Assailants","1503"
"Haram","1423"
"incident","1423"
"Boko","1411"
"Somalia","1046"
"attacks","1035"
"attributed","1026"
"people","960"
"attacked","810"
"state","808"
