word,count
"motive","361"
"Somalia","298"
"specific","275"
"responsibility","258"
"claimed","255"
"Academic","227"
"LexisNexis","226"
"group","223"
"Africa","204"
"assailants","200"
"France","192"
"National","189"
"Agence","180"
"Presse","178"
"Worldwide","175"
