pub_date,keyword_name,keyword_value,score,headline_main
 2016-08-27T04:00:00+0000,glocations,Syria,1.3603468e-10,Syria’s  Paradox:  Why  the  War  Only  Ever  Seems  to  Get  Worse 
 2016-08-12T08:42:20Z,glocations,Turkey,7.257338e-11,Turkey  Seeks  Ex-Soccer  Star  Hakan  Sukur  and  32  Fugitive  Diplomats 
 2016-07-17T00:00:00Z,glocations,Nice(France),4.813001e-11,Terror  Through  the  Eyes  of  Innocents:  The  Children  in  Nice 
 2016-08-10T04:00:00+0000,glocations,Russia,4.1040588e-11,Restoring  Old  Churches  Inspires  a  New  Philanthropy  in  Russia 
 2016-07-15T08:28:27+0000,glocations,Nice(France),4.0694146e-11,A  Trail  of  Terror  in  Nice,  Block  by  Block 
 2016-08-11T04:00:00+0000,glocations,Egypt,3.639235e-11,Gay  and  Transgender  Egyptians,  Harassed  and  Entrapped,  Are  Driven  Underground 
 2016-08-03T04:00:00+0000,glocations,Bangladesh,2.8219408e-11,Bangladesh  Offers  Bounties  for  Two  Terrorism  Suspects 
 2016-08-11T12:00:56+0000,glocations,Honduras,2.3789843e-11,How  the  Most  Dangerous  Place  on  Earth  Got  Safer 
 2016-08-03T04:00:00+0000,glocations,Turkey,1.6152043e-11,Turks  Can  Agree  on  One  Thing:  U.S.  Was  Behind  Failed  Coup 
 2016-07-25T04:00:00Z,glocations,Germany,1.1032623e-11,Syrian  Refugee  Arrested  in  Germany  After  Fatal  Knife  Attack 
 2016-07-26T00:00:00Z,glocations,Ansbach(Germany),9.699121e-12,Suicide  Bomber  in  Ansbach,  Germany,  Pledged  Loyalty  to  ISIS,  Officials  Say 
 2016-07-26T00:00:00Z,glocations,Turkey,8.578798e-12,Turkey  Cracks  Down  on  Journalists,  Its  Next  Target  After  Crushing  Coup 
 2016-07-28T00:00:00Z,glocations,Iran,8.4872925e-12,Is  the  Iran-Saudi  Cold  War  Heating  Up? 
 2016-07-02T18:20:04+0000,glocations,SaudiArabia,8.306098e-12,The  Terrorists  the  Saudis  Cultivate  in  Peaceful  Countries 
 2016-06-29T00:28:18+0000,glocations,Istanbul(Turkey),5.5155962e-12,Wave  of  Terror  Attacks  in  Turkey  Continue  at  a  Steady  Pace 
 2016-07-13T00:00:00Z,glocations,Iraq,5.0647654e-12,In  Iraq,  Shades  of  Vietnam 
