,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property,country_txt,region_txt
1,Hezbollah,130.0,suicide bomber,Middle East & North Africa,Lebanon,"A suicide bomber detonated an explosive device on a bus of Israeli tourists in Burgas city, Burgas oblast, Bulgaria. At least six of the passengers died and 30 were injured in the attack. Hezbollah claimed responsibility for the incident.",2012/7/18,7.0,30.0,1,Bulgaria,Eastern Europe
2,Caucasus Emirate,85.0,15 people,Eastern Europe,Russia,"A suicide bomber detonated explosives at the funeral of a police officer in Sagopshi village, Ingushetia republic, Russia. In addition to the bomber, seven police officers were killed and 15 people injured in the blast. Caucasus Emirate claimed responsibility for the incident.",2012/8/19,8.0,15.0,0,Russia,Eastern Europe
3,Muslim extremists,40.0,dagestan republic,South Asia,Afghanistan,"A female suicide bomber attacked Sheikh Said Afandi at his residence in Chirkey village, Buynaski district, Dagestan republic, Russia. Afandi, an influential Sufi Muslim cleric, and six of his followers were killed in the blast. No group claimed responsibility for the incident.",2012/8/28,7.0,0.0,1,Russia,Eastern Europe
4,Muslim extremists,35.0,least seven,South Asia,Afghanistan,"An assailant, identified as Sergeant Razman Aliyev, opened fire on his fellow Russian soldiers at a military facility in Belidzhi village, Dagestan republic, Russia. At least seven soldiers, including Aliyev, were killed in the attack. No group claimed responsibility for the incident.",2012/8/28,7.0,0.0,0,Russia,Eastern Europe
5,Muslim extremists,26.0,four police,South Asia,Afghanistan,"Gunmen attacked a police patrol in Dattykh village, Sunzhenskiy district, Ingushetia republic, Russia. Four police officers were killed and another twoinjured in the attack. No group claimed responsibility for the incident; however, sources suspected that Muslim fundamentalists were involved.",2012/10/3,4.0,2.0,0,Russia,Eastern Europe
0,Muslim extremists,24.0,two police,South Asia,Afghanistan,"An explosive device planted at a gas station detonated near a police vehicle in Sagopshi village, Ingush oblast, Russia. Two police officers were killed and three people, including one police officer, were injured. An unnamed group of Muslim fundamentalists claimed responsibility for this incident.",2012/4/28,2.0,3.0,1,Russia,Eastern Europe
