,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property,country_txt,region_txt
1,Riyadus-Salikhin Reconnaissance and Sabotage Battalion of Chechen Martyrs,185.0,bomb planted,Eastern Europe,Russia,"A train traveling between Moscow and St. Petersburg was derailed by a bomb planted underneath the trains tracks in the city of Veliky Novgorod, Novgorod Oblast, Russia. The blast injured sixty. Chechen militants claimed responsibility for the attack",2007/8/15,0.0,60.0,1,Russia,Eastern Europe
4,Chechen Rebels,61.0,least 5,Eastern Europe,Russia,"At least 5 people were killed and another 12 were injured when an explosive device detonated on or near a bus in the Russian Republic of North Ossetia in the countrys southwest. Police suspected that Chechen rebels were to blame, but no group claimed responsibility.",2007/11/23,5.0,12.0,-9,Russia,Eastern Europe
3,Riyadus-Salikhin Reconnaissance and Sabotage Battalion of Chechen Martyrs,11.0,wounding two,Eastern Europe,Russia,"A Chechen Patrol-Sentry Service post was attacked with gunfire, killing one officer and wounding two others. The attack occurred in the Leninsky district of Chechnyas capital city, Grozny. No group claimed responsibility, but Chechen rebels are suspected of perpetrating the attack.",2007/11/17,1.0,2.0,0,Russia,Eastern Europe
2,Chechen Rebels,5.0,one claimed,Eastern Europe,Russia,"A government official of the Chechen Patrol-Sentry Service was attacked and killed while in his car in Grozny, Chechnya. No one claimed responsibility for the attack, but Chechen rebels are suspected of perpetrating it.",2007/11/16,1.0,0.0,0,Russia,Eastern Europe
0,Chechen Rebels,3.0,russian federation,Eastern Europe,Russia,"One Russian police officer was wounded when Chechen separatists in a Lada automobile fired small arms (automatic rifles) at two Federal Security Bureau vehicles in the afternoon two kilometers outside of Berkat-Yurt, Grozny District, Republic of Chechnya, Russian Federation.   No claim of responsibility was reported.",2007/6/4,0.0,1.0,-9,Russia,Eastern Europe
