word,count
"claimed","84"
"responsibility","77"
"incident","76"
"United","63"
"States","62"
"fire","60"
"assailant","59"
"group","59"
"reported","43"
"casualties","42"
"York","40"
"suspected","39"
"police","36"
"set","35"
"Assailants","34"
"sources","33"
