word,count
"claimed","302"
"responsibility","296"
"incident","242"
"group","232"
"Assailants","159"
"reported","158"
"casualties","150"
"sources","144"
"Ireland","132"
"Belfast","124"
"United","119"
"Kingdom","113"
"police","112"
"bomb","111"
"Northern","110"
