,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property
0,Young Communist League,21.0,young communist,North America,United States,"On Friday evening, in Gamgadi, Mugu, Nepal, assailants assaulted and wounded seven police officers.  No group claimed responsibility, but it was widely believed the Young Communist League (YCL) was responsible.",2009/4/24,0.0,7.0,0
1,Young Communist League,15.0,nepal political,North America,United States,"On Thursday, in Chipledhunga, Pokhara, Kaski, Gandaki, Nepal, five political Rastriya Prajatantra Party - Nepal political activists were wounded when their meeting was attacked by Young Communist League militants.",2009/7/30,0.0,5.0,-9
