,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property
0,Uighur Separatists,60.0,least eight,East Asia,China,"Assailants hijacked and set fire to a passenger bus in Xi'an, Shaanxi, China. At least eight people were killed and five others were injured in the attack. No group claimed responsibility; however, sources attributed the incident to Uighur separatists.",2016/4/28,8.0,5.0,1
1,Uighur Separatists,39.0,group claimed,East Asia,China,"Assailants rammed a vehicle into the yard of a local Communist Party committee office building in Karakax, Xinjiang, China. The assailants then detonated an explosive device and stormed the building. At least five people, including three assailants, were killed and three people were injured in the ensuing clash. No group claimed responsibility for the incident; however, sources attributed the attack to Uighur separatists.",2016/12/28,5.0,3.0,1
