word,count
"bomb","61"
"attacks","58"
"responsibility","56"
"claimed","44"
"Greece","40"
"Athens","38"
"arson","31"
"France","28"
"police","28"
"Press","27"
"Associated","27"
"summit","27"
"group","26"
"Nuclei","24"
"claim","23"
"Greek","23"
"Arsonist","22"
"Thessaloniki","21"
"perpetrators","21"
