word,count
"claimed","2113"
"responsibility","1906"
"killed","1794"
"group","1745"
"sources","1665"
"Somalia","1614"
"Assailants","1585"
"incident","1193"
"Nigeria","1186"
"attributed","975"
"attacks","895"
"people","824"
"reported","783"
"Al-Shabaab","783"
"News","782"
"injured","782"
"numbers","651"
