,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property,country_txt,region_txt
0,Eastern Turkistan Islamic Movement (ETIM),150.0,least five,Middle East & North Africa,Turkey,"Three assailants drove a vehicle through a crowd in Tiananmen Square, Beijing city, Beijing municipality, China. At least five people, including the three drivers, were killed and 40 others were injured in the attack. The Eastern Turkistan Islamic Movement (ETIM) claimed responsibility for the incident.",2013/10/28,5.0,40.0,1,China,East Asia
1,Uighur Separatists,45.0,nine assailants,East Asia,China,"Nine assailants armed with knives and explosive devices attacked a Xinjiang Provincial Public Security Bureau station in Yarkand city, Xinjiang province, China. At least eight assailants were killed while the other was arrested in the assault. No group claimed responsibility; however, sources attributed the incident to Uighur separatists.",2013/12/30,8.0,0.0,1,China,East Asia
