,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property
3,Babbar Khalsa International (BKI),146.0,six indian,North America,Canada,"Six Indian civilians were killed, 37 more were wounded, and a movie theater was damaged when an improvised explosive device (IED) planted by an unknown number of Babbar Khalsa perpetrators detonated at approximately 8:30 PM inside a theater of the Srinagar Cinema in Ludhiana, Punjab State, India.",2007/10/14,6.0,37.0,1
0,Young Communist League,41.0,young communist,North America,United States,"12 Nepalese civilians were wounded and a tour bus, two trucks, two passenger busses, power and telephone lines, and a jeep were destroyed when an unknown number of Young Communist League (Maoist rebel) perpetrators stopped traffic using knives, swords, and improvised explosive devices (IEDs), forced the passengers out of vehicles to destroy them, and attacked telephone and power poles in Chandravata, Kapilvastu Province, Nepal.  No claim of responsibility was reported.",2007/6/10,0.0,12.0,1
1,Popular Revolutionary Army (Mexico),5.0,mexican rebel,North America,Mexico,"Mexican rebel group, Peoples Revolutionary Army, claimed responsibility for attacking key Mexican natural gas pipelines in Queretaro State.  Natural gas was cut off to four other Mexican states in the attack.",2007/7/10,0.0,0.0,1
2,Popular Revolutionary Army (Mexico),5.0,temporarily evacuated,North America,Mexico,"Under the cover of night, operatives from the Popular Revolutionary Army sabotaged various oil and gas pipelines throughout the Mexican states of Veracruz and Tlaxcala. Although no one was killed or injured in the early morning sabotage, about 12,000 people were temporarily evacuated due to the raging fires at the four separate blast sites.",2007/9/10,0.0,0.0,1
