word,count
"China","95"
"Xinjiang","81"
"police","50"
"incident","50"
"killed","46"
"claimed","44"
"sources","41"
"responsibility","40"
"Police","35"
"group","35"
"Chinese","34"
"province","31"
"Uighur","29"
"people","26"
"attacks","26"
"district","25"
"explosive","23"
"wounded","22"
