,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property,country_txt,region_txt
0,Eastern Turkistan Islamic Movement (ETIM),19.0,group claimed,Middle East & North Africa,Turkey,"A suicide bomber detonated an explosives-laden vehicle at the front gate of the Ministry of Foreign Affairs of the People's Republic of China (MOFA) Embassy in Bishkek, Kyrgyzstan. Aside from the death of the bomber, at least three other people were wounded in the blast. No group claimed responsibility; however, sources attributed the attack to the Eastern Turkistan Islamic Movement (ETIM).",2016/8/30,1.0,3.0,1,Kyrgyzstan,Central Asia
1,Islamic State of Iraq and the Levant (ISIL),10.0,group claimed,Middle East & North Africa,Iraq,"An explosive device detonated prematurely outside a television and radio station in Sokhumi, Abkhazia, Georgia. The assailant was killed in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to the Islamic State of Iraq and the Levant (ISIL).",2016/10/17,1.0,0.0,1,Georgia,Central Asia
