,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property,country_txt,region_txt
3,Animal Liberation Front (ALF),8.0,second story,Western Europe,United Kingdom,"On Saturday, at an unknown time, in Santa Cruz, California, United States, two firebombings targeted two UC-Santa Cruz researchers' property in a string of animal liberation movement actions. A firebomb was ignited on David Feldheim's front porch. Feldheim, a molecular biologist, escaped from a second story window with his family. An adult was treated at the hospital. An anonymous communique was posted to Bite Back wherein the Animal Liberation Front accepted responsibility.",2008/8/2,0.0,1.0,1,United States,North America
4,Animal Liberation Front (ALF),8.0,bite back,Western Europe,United Kingdom,"On Saturday morning in Santa Cruz, California, United States, two firebombings targeted two researchers' property in a string of animal liberation movement actions. A car belonging to an unidentified UC-Santa Cruz researcher was destroyed by a firebomb. An anonymous communique was posted to Bite Back wherein the Animal Liberation Front accepted responsibility. There were no reported casualties.",2008/8/2,0.0,1.0,1,United States,North America
0,Animal Liberation Front (ALF),5.0,later claimed,Western Europe,United Kingdom,"UCLA professor Edythe Londons home was set on fire by suspected activists, causing property damage but resulting in no casualties. The Animal Liberation Fron (ALF) later claimed responsibility for the attack.",2008/2/5,0.0,0.0,1,United States,North America
1,Neo-Nazi extremists,5.0,three men,Western Europe,Germany,"Three men fire-bombed a mosque in Columbia, Tennessee. The messages White power and we run the world, as well as a swastika, were sprayed on the walls. No groups have claimed responsibility for the attack.",2008/2/9,0.0,0.0,1,United States,North America
2,White extremists,5.0,group claimed,North America,United States,"On Monday, at 2300, three unidentified vandals left an IED on a yard in Medford, Oregon, United States. The letters ""KKK"" and a cross were also burnt into the grass. No group claimed responsibility for the attack and no casualties were reported.",2008/5/26,0.0,0.0,1,United States,North America
5,Neo-Nazi extremists,3.0,south elk,Western Europe,Germany,"On Friday, a Hispanic teen was beaten to near death in the Jackson Mobile Home Park, on South Elk Street of Hemet, California. Four white supremacist gang members have been arrested and charged with the beating: Justin Tyme Hayes, 21, Derek Shane O'Brien, 22, Darrin Peter Thibault, 24, and Crystal Lee McCann, 22.",2008/11/14,0.0,1.0,0,United States,North America
