,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property,country_txt,region_txt
0,Eastern Turkistan Islamic Movement (ETIM),56.0,killing three,Middle East & North Africa,Turkey,"On Monday at 0900, in Yangpu district of Shanghai, China, an assailant set fire to a passenger bus, killing three civilians, injuring 12 others, and damaging the bus. The East Turkistan Islamic Movement claimed responsibility.",2008/5/5,3.0,12.0,1,China,East Asia
2,Eastern Turkistan Islamic Movement (ETIM),21.0,public security,Middle East & North Africa,Turkey,"On Sunday, at an unknown time, in Kuqa, Xinjiang uygur, china, a group of militants drove a tricycle loaded with explosives into a public security bureau. One militant was shot by police, another blew himself up, and the other two were arrested. The attack was perpetrated by the Eastern Turkistan Islamic Movement.",2008/8/10,3.0,2.0,-9,China,East Asia
3,Eastern Turkistan Islamic Movement (ETIM),18.0,three security,Middle East & North Africa,Turkey,"On Tuesday, at an unknown time, in Yamanya, Xinjiang uygur, China, three security officers were killed and a fourth was injured during a stabbing attack at a checkpoint. The incident is linked to the Eastern Turkistan Islamic Movement.",2008/8/12,3.0,1.0,0,China,East Asia
1,Eastern Turkistan Islamic Movement (ETIM),0.0,policemen jogging,Middle East & North Africa,Turkey,"On Monday, at an unknown time, in Kashgar, Xinjiang, China, two unidentified assailants drove a truck into a group of policemen jogging near the barracks. The attack was claimed by the Eastern Turkistan Islamic Movement. There were no reported casualties in this incident.",2008/8/4,0.0,0.0,-9,China,East Asia
