,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property,country_txt,region_txt
1,Chechen Rebels,59.0,wounding five,Eastern Europe,Russia,"A group of 15 mujahidin infiltrated and burned down an administration building and then fired upon police arriving at the scene killing five police and a civilian and wounding five others, including three civilians.",2008/3/19,6.0,8.0,1,Russia,Eastern Europe
19,Caucasus Emirate,44.0,local russian,Eastern Europe,Russia,"On Thursday at 1200 noon, Chechen rebels belonging to the Urus-Martanovskiy mujahedin ambushed a group of Russian supporters of the local Russian administrator who were in a Russian convoy in Saadi-Kotar, Chechnya, Russia. They bombed a convoy of Russian supporters of the local Russian administrator using a landmine that was previously planted in the city of Saadi-Kotar, Komsomolskoye, Chechnya, Russia.  The landmine damaged the Russian convoy, however no casualties were reported. The heavy shooting resulted in the deaths of four Russians and injured eight. The Chechens claimed responsibility for the attack on a chechen website.",2008/10/23,4.0,8.0,-9,Russia,Eastern Europe
4,Chechen Rebels,23.0,old deputy,Eastern Europe,Russia,"15, a group of about 60 Chechen Rebel Fighters commanded by Usman  Muntsigov killed three people and wounded another during an attack in which they set fire to three houses, including the local government administrators house, in Benoi-Vedeno, Chechnya province, Russia. A number of hostages, including the 47-year-old deputy administrator, were also taken hostage after the attacks. Authorities believed the attacks were carried out because the town of Benoi-Vedeno has always opposed the extremists and openly supported the legitimate Russian government. No claim of responsibility was made for the incident and the status of the hostages is unknown.",2008/6/12,3.0,1.0,1,Russia,Eastern Europe
6,Caucasus Emirate,23.0,group claimed,Eastern Europe,Russia,"On Monday at 2340, gunmen attacked an apartment with automatic weapons and grenades in Kabardino-Balkaria. No group claimed responsibility for the attack.",2008/6/23,0.0,6.0,1,Russia,Eastern Europe
5,Chechen Rebels,20.0,three persons,Eastern Europe,Russia,"On Friday night, at 0015, three persons were shot dead by Islamic fighters in the mountain village of Benoi-Vedeno, Chechnya, Russia.",2008/6/13,3.0,0.0,1,Russia,Eastern Europe
21,Caucasus Emirate,20.0,killing three,Eastern Europe,Russia,"On Wednesday morning, at 0200, in Agishty, Chechnya, Russia, assailants fired upon civilians, killing three civilians, and set fire to their residence, causing damage. Caucasus Emirate claimed responsibility.",2008/12/3,3.0,0.0,1,Russia,Eastern Europe
20,Kosovo Liberation Army (KLA),5.0,improvised explosive,Eastern Europe,Albania,"On Friday evening at 1730, in Pristina, Kosovo, assailants detonated an improvised explosive device in the yard of the European Union's International Civil Representative Office, damaging the building, but causing no injuries. The Army of the Republic of Kosovo claimed responsibility.",2008/11/14,0.0,0.0,1,Kosovo,Eastern Europe
0,Chechen Rebels,5.0,folk medicine,Eastern Europe,Russia,"A 75 year-old folk medicine healer in Khasavyurt in Russia's North Caucasus republic of Daghestan was shot dead amid threats of attacks on folk medicine healers in Daghestan, Russia by suspected Askhab Bidayev militants.",2008/3/17,1.0,0.0,-9,Russia,Eastern Europe
2,Caucasus Emirate,10.0,vehicle carrying,Eastern Europe,Russia,"On Sunday afternoon at 1315 in the afternoon in Karabulak, Ingushetia, Russia, armed assailants fired upon a vehicle carrying an Ingush Supreme Court judge, killing him and damaging his vehicle.  The Caucasus Emirate claimed responsibility.",2008/4/13,1.0,0.0,1,Russia,Eastern Europe
3,Caucasus Emirate,,thursday night,Eastern Europe,Russia,"On Thursday night at around 1900 in Assinovskaya, Chechnya, Russia, three armed assailants kidnapped and fired upon Captain Ali Gaidamurov, the Sunzhenskiy Rayon police chief, killing him. There was no motive or damage reported and the Caucasus Emirate claimed responsibility.",2008/4/17,1.0,,0,Russia,Eastern Europe
7,Chechen Rebels,5.0,several improvised,Eastern Europe,Russia,"On Tuesday, a Yarmuk militant was killed in a fight with police at the Stariy dvo summer recreation complex outside Nalchik, Kabardino Balkariya, Russia. The militant had a Kalashnikov and several improvised grenades.",2008/7/1,1.0,0.0,0,Russia,Eastern Europe
8,Caucasus Emirate,5.0,armed assailant,Eastern Europe,Russia,"On Wednesday night, at about 0100, in Nazran, Ingushetiya, Russia, an armed assailant fired a grenade launcher at a police officer's residence, destroying the building but causing no casualties. The motive for attack was not reported and the Caucasus Emirate claimed responsibility.",2008/7/2,0.0,0.0,1,Russia,Eastern Europe
