word,count
"Colombia","398"
"FARC","143"
"claimed","130"
"group","129"
"News","123"
"responsibility","119"
"department","114"
"police","109"
"Armed","102"
"Forces","101"
"Revolutionary","99"
"Service","89"
"killed","76"
"sources","73"
"EFE","71"
