,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property,country_txt,region_txt
9,Caucasus Emirate,435.0,explosion happened,Eastern Europe,Russia,"On Friday evening at 2134, three train cars were derailed when an improvised explosive device detonated on the track between Moscow and St. Petersburg, Russia. The explosion happened near the town of Bologoye leaving 26 people dead, 100 injured and 18 unaccounted for. The bomb is said to have been equivalent to seven kg of TNT leaving a crater of 1.5 meters in diameter and 0.7 meters in depth. The train and a section of the track were damaged. Caucasus Emirate claimed responsibility.",2009/11/27,26.0,100.0,1,Russia,Eastern Europe
6,Riyadus-Salikhin Reconnaissance and Sabotage Battalion of Chechen Martyrs,135.0,shushenskaya power,Eastern Europe,Russia,"On Monday, at the Sayano-Shushenskaya power station in southern Siberia, Russia, a bomb killed 26 people and left dozens more missing. The militant group Riyad-us Salihiin (Gardens of the Righteous) claimed responsibility.",2009/8/17,26.0,0.0,1,Russia,Eastern Europe
4,Riyadus-Salikhin Reconnaissance and Sabotage Battalion of Chechen Martyrs,35.0,wounding three,Eastern Europe,Russia,"On Monday morning at about 0830, in the Nasyr-Kortsky Okrug area of Nazran, Ingushetia, Russia, a suicide bomber drove a vehicle-borne improvised explosive device into the convoy of the Ingushetia President at the intersection of the Kavkaz federal highway and Likhachyeva Street and detonated it, killing one bodyguard, one police officer, and one civilian; wounding three bodyguards, one civilian and one top government official; and destroying one vehicle, damaging two others and two nearby residences. The Riyad us-Saliheyn Martyrs' Brigade of the Caucasus Emirate claimed responsibility.",2009/6/22,3.0,5.0,1,Russia,Eastern Europe
7,Chechen Rebels,28.0,improvised explosive,Eastern Europe,Russia,"At about 10:30 AM, in Groznyy, Chechnya, Russia, a female suicide  bomber detonated an improvised explosive device (IED) at the corner of Mira Street and Putin Avenue as police officers were attempting to question her, wounding four nearby civilians and two police officers and destroying a police vehicle. No group claimed responsibility.",2009/9/16,1.0,6.0,1,Russia,Eastern Europe
2,Caucasus Emirate,25.0,four nearby,Eastern Europe,Russia,"On Wednesday morning, in Nazran, Ingushetia, Russia, assailants fired upon the vehicle carrying the deputy head of Ingushetia's Supreme Court, killing her, wounding the driver, four nearby civilians, and causing damage to two vehicles. The Caucasus Emirate claimed responsibility.",2009/6/10,1.0,5.0,1,Russia,Eastern Europe
0,Caucasus Emirate,16.0,wounding two,Eastern Europe,Russia,"On Tuesday morning at about 0830, in Nazran, Ingushetia, Russia, an improvised explosive device (IED) that had been placed under a vehicle belonging to Lt. Colonel Isa Tochiyev, the chief of personal security for the republic's anti-drug department, exploded as the police officer was driving with his family on Moskovskaya Street, killing the police officer, wounding two children and damaging the vehicle. The IED was filled with 100 to 200 grams of explosives. The Caucasus Emirate claimed responsibility.",2009/6/2,1.0,2.0,1,Russia,Eastern Europe
1,Caucasus Emirate,10.0,kavkaz federal,Eastern Europe,Russia,"On Friday morning at 0850, in Gazi-Yurt, Ingushetia, Russia, assailants fired upon a vehicle belonging to a court bailiff as it was passing on the Kavkaz federal highway, killing the government employee and damaging the vehicle. The Caucasus Emirate claimed responsibility.",2009/6/5,1.0,0.0,1,Russia,Eastern Europe
3,Caucasus Emirate,5.0,official public,Eastern Europe,Russia,"On Saturday evening at about 1830, in Nazran, Ingushetia, Russia, assailants fired upon the former deputy prime minister of Ingushetia as he was entering his residence, killing the non-official public figure. The Caucasus Emirate claimed responsibility. It Is unknown if the attack caused any property damage.",2009/6/13,1.0,0.0,-9,Russia,Eastern Europe
5,Caucasus Emirate,5.0,monday evening,Eastern Europe,Russia,"On Monday evening, in Khasavyurt, Dagestan, Russia, an improvised explosive device exploded near a section of gas pipeline, damaging the pipeline but causing no casualties. Caucasus Emirate claimed responsibility.",2009/8/17,0.0,0.0,1,Russia,Eastern Europe
8,Caucasus Emirate,8.0,apostle thomas,Eastern Europe,Russia,"On Thursday night at about 2340, in Moscow, Moskva, Russia, an assailant fired upon religious workers at the St. Apostle Thomas church, killing a priest and injuring a choirmaster. Caucasus Emirate claimed responsibility.",2009/11/19,1.0,1.0,0,Russia,Eastern Europe
