word,count
"motive","17"
"United","14"
"Canada","14"
"specific","13"
"States","12"
"claimed","12"
"group","12"
"responsibility","11"
"reported","9"
"News","8"
"assailants","8"
"British","7"
"military","7"
"National","7"
"gas","7"
"Press","7"
"Pipeline","6"
"Daily","6"
"Columbia","6"
"Center","6"
